,Unnamed: 0,AVG_Per_Comp,AVG_Per_Rec,AVG_Per_Rush,CMP,CMP%,INT,LNG,Name,Passing_ATT,Passing_YDS,REC,RTG,Recieving_YDS,Rushing_ATT,Rushing_YDS,SACK,SYL,TD
3642,3,,16.1,,,,,61,Jaret Patterson RB,,,13.0,,209.0,,,,,1
3643,4,,11.5,,,,,28,Carlton Todd WR,,,10.0,,115.0,,,,,0
3644,5,,22.3,,,,,33,Marlyn Johnson WR,,,3.0,,67.0,,,,,0
3645,6,,7.7,,,,,12,Dominic Johnson QB,,,6.0,,46.0,,,,,1
3646,7,,3.4,,,,,10,Kevin Marks RB,,,12.0,,41.0,,,,,0
3647,8,,8.0,,,,,23,Ron Cook Jr. RB,,,5.0,,40.0,,,,,0
3648,9,,8.3,,,,,13,Dylan McDuffie RB,,,3.0,,25.0,,,,,1
3649,0,7.9,,,190.0,64.6,9.0,61,Quinten Dormady QB,294.0,2312.0,,140.3,,,,14.0,-87.0,14
3650,1,7.0,,,94.0,57.3,4.0,80,David Moore QB,164.0,1143.0,,121.0,,,,7.0,-64.0,5
3651,2,5.9,,,4.0,50.0,0.0,24,Tommy Lazzaro QB,8.0,47.0,,99.3,,,,0.0,0.0,0
3652,3,14.0,,,1.0,50.0,0.0,28,Kalil Pimpleton WR,2.0,28.0,,167.6,,,,0.0,0.0,0
3653,4,0.30000000000000004,,,1.0,33.3,0.0,1,Daniel Richardson QB,3.0,1.0,,36.1,,,,0.0,0.0,0
3654,5,0.0,,,0.0,0.0,0.0,0,- Team -,1.0,0.0,,0.0,,,,0.0,0.0,0
3655,6,0.0,,,0.0,0.0,0.0,0,Kaden Keon PK,1.0,0.0,,0.0,,,,0.0,0.0,0
3656,7,7.5,,,290.0,61.3,13.0,80,Total,473.0,3531.0,,131.8,,,,21.0,-151.0,19
3657,0,,,6.1,,,,86,Jonathan Ward RB,,,,,,183.0,1108.0,,,15
3658,1,,,5.9,,,,75,Kobe Lewis RB,,,,,,182.0,1074.0,,,12
3659,10,,,0.0,,,,4,Thaddeus Cornick RB,,,,,,3.0,0.0,,,0
3660,11,,,-0.1,,,,12,David Moore QB,,,,,,22.0,-3.0,,,1
3661,12,,,-3.7,,,,0,- Team -,,,,,,10.0,-37.0,,,0
3662,13,,,-1.1,,,,12,Quinten Dormady QB,,,,,,35.0,-39.0,,,0
3663,14,,,4.8,,,,86,Total,,,,,,526.0,2539.0,,,36
3664,2,,,4.5,,,,21,Tommy Lazzaro QB,,,,,,36.0,161.0,,,8
3665,3,,,4.7,,,,15,Lew Nichols RB,,,,,,19.0,89.0,,,0
3666,4,,,3.5,,,,8,Kumehnnu Gwilly RB,,,,,,24.0,83.0,,,0
3667,5,,,11.6,,,,32,Kalil Pimpleton WR,,,,,,7.0,81.0,,,0
3668,6,,,15.0,,,,15,Tyrone Scott WR,,,,,,1.0,15.0,,,0
3669,7,,,2.0,,,,3,Romello Ross RB,,,,,,2.0,4.0,,,0
3670,8,,,3.0,,,,3,Daniel Richardson QB,,,,,,1.0,3.0,,,0
3671,9,,,0.0,,,,0,Oakley Lavallii FB,,,,,,1.0,0.0,,,0
3672,0,,10.9,,,,,80,Kalil Pimpleton WR,,,82.0,,894.0,,,,,6
3673,1,,14.2,,,,,37,JaCorey Sullivan WR,,,57.0,,808.0,,,,,3
3674,10,,8.0,,,,,8,Adam Jones WR,,,1.0,,8.0,,,,,0
3675,11,,7.0,,,,,7,Joel Wilson TE,,,1.0,,7.0,,,,,0
3676,12,,6.0,,,,,6,Oakley Lavallii FB,,,1.0,,6.0,,,,,0
3677,13,,5.0,,,,,5,Mark Patritto WR,,,1.0,,5.0,,,,,0
3678,14,,12.2,,,,,80,Total,,,290.0,,3531.0,,,,,19
3679,2,,17.6,,,,,48,Tyrone Scott WR,,,37.0,,650.0,,,,,5
3680,3,,15.0,,,,,53,Tony Poljan TE,,,33.0,,496.0,,,,,4
3681,4,,9.7,,,,,64,Jonathan Ward RB,,,34.0,,329.0,,,,,1
3682,5,,7.1,,,,,33,Kobe Lewis RB,,,23.0,,164.0,,,,,0
3683,6,,7.6,,,,,21,Bernhard Raimann TE,,,10.0,,76.0,,,,,0
3684,7,,9.0,,,,,12,Keonta Nixon WR,,,6.0,,54.0,,,,,0
3685,8,,8.3,,,,,13,Drayton Law WR,,,3.0,,25.0,,,,,0
3686,9,,9.0,,,,,9,Da'Quaun Jamison DB,,,1.0,,9.0,,,,,0
3687,0,7.9,,,266.0,66.3,11.0,80,Mike Glass III QB,401.0,3169.0,,147.0,,,,14.0,-82.0,24
