team_id,variable,first_downs,first_downs_by_penalty,third_down_percentage,fourth_down_percentage,average_interception_yards,average_kickoff_return_yards,average_punt_return_yards,interceptions,net_average_punt_yards,net_passing_yards,net_passing_yards_per_game,passing_first_downs,passing_touchdowns,rushing_first_downs,rushing_attempts,rushing_touchdowns,rushing_yards,rushing_yards_per_game,total_offensive_plays,total_points,total_points_per_game,total_touchdowns,total_offensive_yards,yards_per_game,yards_per_pass_attempt,yards_per_rush_attempt,completed_passes,attempted_passes,field_goals_completed,field_goals_attempted,total_fumbles,defensive_interception,yards_after_interception,total_kickoffs_received,yards_off_kickoff_received,total_punts_received,yards_off_punts_received,total_punts_kicked,total_punt_yards,total_defensive_sacks,yards_lost_from_sacks,total_penalties,total_yards_penalized
49,Rutgers,160,14,34.27,42.86,1.3,20.2,2.7,15,41.5,1672,139.3,68,7,78,457,11,1605,133.8,761,159,19.9,18,3277,273.1,6,3.5,154,278,11,15,13,6,8,36,727,13,35,76,3327,26,148,76,709
50,Wisconsin,320,12,48.15,78.26,16.7,28.4,8.1,5,36.2,2802,200.1,134,18,174,612,38,3263,233.1,983,477,34.1,62,6065,433.2,8,5.3,246,351,14,21,38,12,200,27,766,32,259,48,1903,20,121,69,636
51,Charlotte,270,22,40.76,56.52,11.2,17.3,7.1,14,32.5,2749,211.5,119,24,129,527,26,2605,200.4,869,388,29.8,52,5354,411.8,8.6,4.9,195,321,10,13,26,9,101,22,380,18,127,51,1975,21,121,68,594
52,Florida Atlantic,330,25,39.9,59.09,10,19.3,5.4,8,39.9,3956,282.6,181,30,124,551,32,2324,166,1081,508,36.3,65,6280,448.6,7.9,4.2,314,502,18,26,31,22,221,21,406,21,114,69,2958,28,218,95,852
53,Florida International,259,30,37.84,54.17,12.5,16,15.6,6,40.8,2754,211.8,128,14,101,488,23,2148,165.2,891,344,26.5,40,4902,377.1,7.1,4.4,223,389,21,29,31,12,150,31,496,12,187,57,2414,14,84,79,733
54,Louisiana Tech,304,27,40.91,37.5,13.9,22,5.4,10,34,3490,268.5,158,21,119,475,27,2189,168.4,962,422,32.5,54,5679,436.8,7.6,4.6,285,458,15,18,31,17,237,33,727,13,70,60,2247,29,164,72,605
55,Marshall,271,29,37.91,42.86,16.6,18.6,11.8,11,37.8,2605,200.4,100,16,142,532,21,2514,193.4,912,337,25.9,40,5119,393.8,7.3,4.7,200,355,18,21,32,10,166,31,578,21,248,66,2709,25,182,75,680
56,Middle Tennessee,247,22,34.9,52.94,8.5,14.8,2.8,9,35.5,2837,236.4,122,22,103,404,18,2049,170.8,793,316,26.3,41,4886,407.2,7.7,5.1,227,367,11,14,10,8,68,11,163,4,11,60,2375,22,133,57,497
57,North Texas,252,14,36.99,56.25,9.8,23.3,8.4,12,38.7,3400,283.3,150,33,88,396,11,1623,135.3,876,367,30.6,46,5023,418.6,7.5,4.1,283,454,16,20,14,4,39,49,1141,19,160,51,2211,26,178,64,672
58,Old Dominion,203,23,30.98,58.82,14.7,24.8,7.1,12,36.5,2117,176.4,104,5,76,431,16,1168,97.3,862,195,16.3,21,3285,273.8,5.6,2.7,207,379,15,20,16,9,132,29,718,14,100,68,2644,52,285,71,729
59,Rice,204,27,37.71,44.44,1.2,20.4,9.2,4,41.1,1992,166,98,13,79,433,14,1538,128.2,787,215,17.9,27,3530,294.2,6.2,3.6,180,320,10,15,20,6,7,26,530,15,138,66,2822,34,189,44,330
60,Southern Mississippi,246,19,38.42,47.06,15.9,23.6,9.8,17,36.2,3764,289.5,153,20,74,434,17,1527,117.5,895,346,26.6,42,5291,407,8.6,3.5,291,438,18,22,26,10,159,33,779,16,156,62,2397,23,183,81,716
61,UAB,251,22,31.32,40,12.4,19.1,3.4,20,38.4,2815,201.1,120,20,109,558,16,2111,150.8,921,324,23.1,38,4926,351.9,8.3,3.8,192,338,19,23,27,7,87,28,534,13,44,69,2860,25,163,101,992
62,UTEP,215,16,34.97,72,0,20.3,4.9,8,37.3,2292,191,104,9,95,438,18,1658,138.2,803,235,19.6,29,3950,329.2,6.9,3.8,177,330,13,16,14,5,0,31,630,18,88,63,2448,35,262,80,738
63,UTSA,216,16,36.26,54.84,15.2,21,2.2,11,38.4,2189,182.4,99,13,101,453,15,1950,162.5,850,244,20.3,31,4139,344.9,6,4.3,213,366,9,11,22,6,91,31,652,24,52,65,2651,31,158,89,829
64,Western Kentucky,267,21,40.76,60,4.5,19.2,4.1,12,41.6,3371,259.3,154,20,92,431,18,1670,128.5,920,330,25.4,40,5041,387.8,7.2,3.9,313,469,17,28,32,11,49,35,671,16,65,46,2083,20,130,53,514
65,Army,272,15,44.97,66.67,22.1,16.8,2.6,7,42.2,1066,82,38,6,219,743,45,3863,297.2,885,370,28.5,52,4929,379.2,8.5,5.2,59,126,4,7,21,7,155,17,286,14,37,37,1660,16,102,60,496
66,BYU,293,16,42.47,36.84,16,19.4,13.5,11,37.5,3701,284.7,170,20,107,465,25,2068,159.1,962,372,28.6,46,5769,443.8,7.9,4.4,296,468,17,27,30,15,240,22,427,21,283,53,2209,29,174,79,668
67,Liberty,289,29,40.48,31.25,12.3,24.3,0.5,8,37.1,3756,288.9,161,29,99,435,25,1956,150.5,915,429,35.8,56,5712,439.4,8.3,4.5,257,452,13,19,28,12,147,40,970,19,10,55,2245,28,199,88,801
68,New Mexico State,228,18,31.98,61.54,3.6,13.5,9.5,15,38.7,2611,217.6,117,15,93,386,16,1722,143.5,863,260,21.7,33,4333,361.1,5.9,4.5,278,446,10,16,22,5,18,28,378,18,171,66,2773,31,202,68,531
69,Notre Dame,272,23,40,68,9.7,18.3,8.4,6,37.7,3278,252.2,135,37,114,473,20,2327,179,906,478,36.8,61,5605,431.2,7.9,4.9,253,416,17,20,32,9,87,22,403,25,211,63,2485,17,93,84,645
70,UMass,189,19,34.38,37.93,11.8,20.7,9.4,16,37.1,2022,168.5,94,15,76,430,14,1495,124.6,849,237,21.5,31,3517,293.1,5.2,3.5,218,392,7,8,11,10,118,75,1550,12,113,79,3116,27,174,82,717
71,Akron,156,14,25.77,30.44,24,21.5,3.8,14,35.4,2344,195.3,91,12,51,327,2,562,46.8,783,126,12.6,15,2906,242.2,5.9,1.7,204,398,7,12,22,5,120,40,859,12,46,80,2980,58,328,81,628
72,Ball State,292,26,41.04,52.17,4.7,22.6,8,7,31.6,2923,243.6,137,24,129,536,27,2633,219.4,938,418,34.8,53,5556,463,7.8,4.9,239,373,15,22,18,15,71,42,948,14,112,53,2060,29,167,71,636
73,Bowling Green,204,13,33.15,21.88,11,18.6,5.2,15,38.2,1888,157.3,88,9,103,502,15,1941,161.8,853,192,19.2,25,3829,319.1,5.6,3.9,189,337,6,11,14,7,77,43,799,18,94,72,2923,14,122,84,710
74,Buffalo,276,20,44.85,64,13.8,20.1,6.7,6,30.1,1795,138.1,83,14,173,659,36,3256,250.5,945,409,31.5,54,5051,388.5,6.5,4.9,150,278,11,19,33,11,152,9,181,14,94,53,1859,8,59,64,580
75,Central Michigan,310,28,40.1,56.67,10.4,22.7,7.9,13,37.3,3531,252.2,160,19,122,526,36,2539,181.4,1020,426,32.8,55,6070,433.6,7.5,4.8,290,473,13,21,21,13,135,33,749,27,212,55,2305,21,151,118,925
76,Eastern Michigan,285,26,39.65,48,12.5,16.9,12,12,39.9,3681,283.2,168,27,91,418,21,1590,122.3,906,379,29.2,49,5271,405.5,7.9,3.8,313,465,14,19,34,11,137,15,254,15,180,50,2190,23,134,59,531
77,Kent State,283,32,43.88,66.67,3.1,22.6,8.5,2,40.9,2846,218.9,116,24,135,550,17,2427,186.7,946,380,31.7,42,5273,405.6,8,4.4,238,355,29,34,32,7,22,48,1083,14,119,61,2614,41,206,81,781
