team_id,variable,first_downs,first_downs_by_penalty,third_down_percentage,fourth_down_percentage,average_interception_yards,average_kickoff_return_yards,average_punt_return_yards,interceptions,net_average_punt_yards,net_passing_yards,net_passing_yards_per_game,passing_first_downs,passing_touchdowns,rushing_first_downs,rushing_attempts,rushing_touchdowns,rushing_yards,rushing_yards_per_game,total_offensive_plays,total_points,total_points_per_game,total_touchdowns,total_offensive_yards,yards_per_game,yards_per_pass_attempt,yards_per_rush_attempt,completed_passes,attempted_passes,field_goals_completed,field_goals_attempted,total_fumbles,defensive_interception,yards_after_interception,total_kickoffs_received,yards_off_kickoff_received,total_punts_received,yards_off_punts_received,total_punts_kicked,total_punt_yards,total_defensive_sacks,yards_lost_from_sacks,total_penalties,total_yards_penalized
1,Cincinnati,290,21,42.99,64.71,18.8,21.9,8.3,11,40.9,2552,182.3,110,19,159,616,30,2912,208,1028,413,31.8,52,5464,390.3,6.8,4.7,208,377,16,22,41,16,300,27,590,30,250,72,3053,35,234,123,977
2,East Carolina,288,37,39.33,42.86,9.8,16.3,5.3,10,36.3,3466,288.8,152,22,99,449,12,1696,141.3,917,321,26.8,36,5162,430.2,7.7,3.8,270,451,24,29,15,11,108,40,653,15,79,65,2653,17,150,71,615
3,Houston,232,23,34.84,70.59,10.4,21.7,11.4,12,43.6,2440,203.3,97,19,112,466,20,2258,188.2,815,368,30.7,44,4698,391.5,7.8,4.8,176,314,20,24,17,8,83,26,564,16,182,54,2531,35,199,58,579
4,Memphis,327,31,45.88,58.33,4.8,26.2,8.1,11,40.8,4177,298.4,161,33,135,551,32,2614,186.7,1019,566,40.4,71,6791,485.1,9.5,4.7,281,441,23,25,32,11,53,46,1206,25,187,44,1957,27,170,103,839
5,Navy,282,12,46.2,76.47,4.8,16.9,6.2,4,39.1,1238,95.2,42,10,228,773,52,4687,360.5,894,483,37.2,64,5925,455.8,11.9,6.1,55,104,12,17,36,12,57,13,220,18,112,39,1668,17,95,54,459
6,SMU,321,40,43.87,73.33,10.1,26.1,8.1,11,36.4,4017,309,162,35,119,534,35,2351,180.8,1054,546,42,73,6368,489.8,8,4.4,313,503,12,16,28,9,91,43,1121,23,186,64,2499,17,108,83,743
7,South Florida,200,16,38.98,41.18,23.3,20.3,8.3,10,37.8,2035,169.6,80,18,104,445,15,1935,161.3,818,250,22.7,33,3970,330.8,6.2,4.3,177,328,7,14,19,12,279,30,609,15,125,74,3317,45,246,101,854
8,Temple,263,25,37.81,41.67,13.8,20,5.2,13,35.8,3312,254.8,146,26,92,479,16,1784,137.2,972,342,26.3,45,5096,392,7,3.7,282,472,11,15,27,8,110,39,781,13,68,65,2469,21,132,92,801
9,Tulane,299,16,38.46,58.82,10.8,23.3,9.9,10,36.2,2679,206.1,117,19,166,612,33,3162,243.2,976,430,33.1,56,5841,449.3,8,5.2,197,336,13,17,33,12,129,42,980,17,168,52,2155,28,186,103,883
10,Tulsa,263,25,42.51,56.52,7.4,19,4.1,9,36.6,3376,281.3,135,20,103,503,18,1660,138.3,986,317,26.4,39,5036,419.7,7.6,3.3,254,444,15,24,21,5,37,26,495,14,58,63,2636,39,242,109,949
11,UCF,333,36,40.3,57.58,18.4,17.8,10.9,8,36.8,4117,316.7,143,36,154,559,34,2909,223.8,1040,564,43.4,74,7026,540.5,9,5.2,271,457,15,17,27,13,239,17,302,27,293,59,2408,24,140,111,952
12,UConn,223,22,28.74,40,21,20.3,11.9,15,38.6,2592,216,110,14,91,428,13,1544,128.7,843,227,18.9,28,4136,344.7,6.8,3.6,228,382,10,16,13,7,147,39,790,9,107,65,2716,33,202,74,618
13,Boston College,277,10,43,54.17,6.1,20.8,8.8,6,39.3,2288,176,95,20,172,659,27,3291,253.2,977,371,28.5,48,5579,429.2,7.5,5,161,305,12,18,18,10,61,47,978,18,159,67,2841,13,95,66,486
14,Clemson,370,31,46.47,50,13.4,22,6,10,40.3,4091,292.2,179,40,160,538,42,3446,246.1,1026,634,45.3,85,7537,538.4,8.7,6.4,308,472,13,22,26,19,254,22,483,31,185,52,2206,16,131,78,619
15,Duke,224,21,32.82,60.61,9.8,24.9,11,14,40.4,2152,179.3,102,18,101,495,16,1804,150.3,901,305,25.4,37,3956,329.7,5.7,3.6,213,378,15,18,23,9,88,37,923,21,231,67,3018,28,140,63,544
16,Florida State,265,25,35.42,57.9,11.8,25.4,6.6,13,37.9,3479,267.6,138,24,102,477,24,1829,140.7,957,363,27.9,49,5308,408.3,8.1,3.8,279,432,7,14,31,8,94,19,483,20,132,77,3054,48,295,119,953
17,Georgia Tech,181,19,29.7,47.06,9.3,21.5,4.8,10,38.3,1607,133.9,63,14,99,448,12,1829,152.4,745,200,18.2,27,3436,286.3,6,4.1,124,269,3,8,18,7,65,29,623,16,76,81,3583,28,182,57,493
18,Louisville,263,19,43.68,59.09,5.4,27.4,11.7,9,38.7,3048,234.5,115,32,129,568,23,2767,212.8,909,430,33.1,58,5815,447.3,10.1,4.9,178,302,9,14,31,7,38,33,904,16,187,58,2450,39,220,93,780
19,Miami,252,26,26.67,52,13.6,20.4,14.2,10,40.5,3239,249.2,145,27,81,407,16,1535,118.1,895,334,27.8,43,4774,367.2,7.4,3.8,255,437,12,20,28,10,136,25,511,21,299,65,2824,51,316,91,782
20,NC State,259,26,35.52,48.28,6.8,18.7,13.5,10,41.5,2749,229.1,123,14,110,418,14,1814,151.2,899,265,22.1,29,4563,380.3,5.9,4.3,244,463,21,24,21,4,27,22,412,15,203,57,2663,18,118,71,627
21,North Carolina,314,16,41.15,65.22,4.1,21.6,5.4,7,37.7,3716,285.8,167,39,131,528,13,2446,188.2,996,432,33.2,53,6162,474,8.6,4.6,265,431,19,28,32,14,58,24,518,13,81,60,2479,37,227,80,701
22,Pittsburgh,268,26,39.81,47.06,14.7,15.9,5.9,10,36.2,3402,261.7,152,17,90,441,11,1544,118.8,983,275,22.9,30,4946,380.5,6.6,3.5,316,513,22,31,25,9,132,18,287,34,199,69,2860,29,212,102,888
23,Syracuse,239,23,37.68,39.29,12.5,19.1,8.6,7,43,2887,240.6,117,23,99,501,16,1848,154,959,339,28.3,41,4735,394.6,7.1,3.7,250,408,18,21,13,13,163,34,649,16,137,69,3026,50,297,107,887
24,Virginia,296,27,45.32,56.25,23.3,28.7,5.1,15,37.9,3748,267.7,180,23,89,442,28,1697,121.2,1003,449,32.1,56,5445,388.9,7.2,3.8,337,520,20,24,28,12,279,42,1204,26,158,57,2390,41,240,66,612
25,Virginia Tech,259,26,38.33,69.23,6.3,19.3,9.7,8,41.4,2718,209.1,108,24,125,565,22,2289,176.1,912,399,30.7,49,5007,385.2,8.5,4.1,185,318,19,23,24,14,88,28,540,25,242,61,2821,29,202,69,606
